Message,Sentimiento
@DIRECTVCo Estoy intentando ingresar a @DIRECTVGO y no me deja ! ¿Qué hago? Ayer me estaba funcionando perfecto !!!,Negativo
@DIRECTVCo Estoy intentando ingresar a @DIRECTVGO y no me deja ! ¿Qué hago? Ayer me estaba funcionando perfecto !!!,Negativo
"Buenos días, he intentado en varias ocasiones usar el servicio de DirectvGO y no se me ha permitido autorizar las aplicaciones en la web, tengo Plan Oro y no veo porqué no pueda realizarlo.
 Agradezco cualquier ayuda al respecto.",Negativo
"@DIRECTVGO @DIRECTVGOAyuda ya po! Quiero ver transmisiones en vivo con subtítulos, arreglen eso. Soy cliente oro y puedo tener la app, pero al poner subtítulos en español no sale nada 😕. Solucionan eso y será una aplicación perfecta",Negativo
@DIRECTVGOAyuda Hola buenas tardes compra un kit directv prepago ya lo instale lo recargue y lo Active pero aún no se me ve ningún canal me ve me sale error 711 como soluciono eso,Negativo
@DIRECTVGOAyuda No veo la diferencia entonces con directvplay allí puedo ver mi plan por mi dispositivos. Sería igual con ésta nueva plataforma. Creo que retomare Netflix. no veo nada nuevo. Gracias por su tiempo.,Negativo
Es mejor Netflix.,Negativo
80 o 65 mil pesos al mes por #DIRECTVGO es un abuso si uni con 30 mil pesos paga netflix para 4 televisores. CONTEXTUALICENSE @DIRECTVCo,Negativo
Lo funciona con Chromecast. Para cuando la actualización?,Negativo
Falta la app para chromcast y sería perfecto 🙏🏼,Negativo
"@DIRECTVGOAyuda hola, quería daber cuánto cuesta el servicio. En la pagina web no pude encontrar esta información",
"Por qué no ponen el precio? Lo vi en la página y tampoco está. Solo dice que ponga el número de mi tarjeta de crédito, y pafff, te cobramos a los 7 días. Pero cuanto? Es tan caro que no Se puede publicar? Los precios de la TV satelital si están. Qué onda?",Negativo
"@DIRECTVGO Consulta, es necesario tener un plan para poder ver DIRECTVgo o se puede contratar aparte?",Positivo
Nesesito un servicio de esa tv.quiero la informacion para afiliarme,Positivo
@DIRECTVGO Faltan dos temporada de los soprano,Negativo
Pero no hemos encontrado por donde ver HBO en DirectvGo..,Negativo
@DIRECTVGO es muy bueno pero debería estar disponible para todos los dispositivos no solo para algunos,Negativo
"@DIRECTVGO quise contratar Directv Go, pero no funciona en todas las smart tv, solo en las samsung. en otras marca de tv hay que usarlo por navegador. un asco.",Negativo
"@DIRECTVGOAyuda alguien ha podido averiguar que modelos en Chile son compatibles con la APP, consulte en SAC @SamsungChile y no tienen idea",Negativo
"Una farsa
 Tengo un Smartv Samsung 4k y chromecast y nada, no puedo ver.la aplicacion con nada, una verdadera basura, nadie responde nada y gaste casi 14 lucas con publicidad engañosa",Negativo
"En mi smart tv Samsung falla mucho la app:
 Se bloquean las series, falla el sonido (no se escucha nada), en señal en vivo se traba (se detiene), pone lento el tv....
 En fin puro problema y poca solución",Negativo
@DIRECTVGOAyuda OK gracias! El único problema es que tengo TV LG 😥 pero al menos vía web lo podré usar,Negativo
"Buenos día, tengo directv con ustedes pero no he podido disfrutar de directv go porque mi tv es smart LG Pero no.tiene esa aplicación",Negativo
Buenas tarde. Lo que pasa es que tengo contratado DirecTV go con ustedes pero el problema es que mi tv smart Lg no tiene esa aplicación para instalarla,Negativo
"@DIRECTVGOAyuda Buenas tardes, no funciona. Probado en Samsung S9 y Tab2 https://t.co/TSrGuMqs22",Negativo
Me gustó la app pero no me funciona en mi Samsung,Negativo
"Tengo directv plan ORO!!!
  Paquetes Premium fox _ hbo
  Y en mi Smart TV samsung de la serie (6) UN40J6500A, 
  NOOOO!! APARECE ESA MALDITA APP! 
  Señores desarrolladores por favor cuando la van a subir a la tienda Smart HUB para esta serie de TV!! 
  Estoy pagando un plan de demasiado dinero 
  Respuesta: buenos días apreciado cliente Comunícate al centro de servicio de directv go! 
  🖕🖕🖕🖕👎👎👎💩😡😠",Negativo
"Tengo directv plan ORO!!!
  Paquetes Premium fox _ hbo
  Y en mi Smart TV samsung de la serie (6) UN40J6500A, 
  NOOOO!! APARECE ESA MALDITA APP! 
  Señores desarrolladores por favor cuando la van a subir a la tienda Smart HUB para esta serie de TV!! 
  Estoy pagando un plan de demasiado dinero 
  Respuesta: buenos días apreciado cliente Comunícate al centro de servicio de directv go! 
  🖕🖕🖕🖕👎👎👎💩😡😠",Negativo
"Tengo directv plan ORO!!!
  Paquetes Premium fox _ hbo
  Y en mi Smart TV samsung de la serie (6) UN40J6500A, 
  NOOOO!! APARECE ESA MALDITA APP! 
  Señores desarrolladores por favor cuando la van a subir a la tienda Smart HUB para esta serie de TV!! 
  Estoy pagando un plan de demasiado dinero 
  Respuesta: buenos días apreciado cliente Comunícate al centro de servicio de directv go! 
  🖕🖕🖕🖕👎👎👎💩😡😠",Negativo
"Tengo directv plan ORO!!!
  Paquetes Premium fox _ hbo
  Y en mi Smart TV samsung de la serie (6) UN40J6500A, 
  NOOOO!! APARECE ESA MALDITA APP! 
  Señores desarrolladores por favor cuando la van a subir a la tienda Smart HUB para esta serie de TV!! 
  Estoy pagando un plan de demasiado dinero 
  Respuesta: buenos días apreciado cliente Comunícate al centro de servicio de directv go! 
  🖕🖕🖕🖕👎👎👎💩😡😠",Negativo
"Tengo directv plan ORO!!!
  Paquetes Premium fox _ hbo
  Y en mi Smart TV samsung de la serie (6) UN40J6500A, 
  NOOOO!! APARECE ESA MALDITA APP! 
  Señores desarrolladores por favor cuando la van a subir a la tienda Smart HUB para esta serie de TV!! 
  Estoy pagando un plan de demasiado dinero 
  Respuesta: buenos días apreciado cliente Comunícate al centro de servicio de directv go! 
  🖕🖕🖕🖕👎👎👎💩😡😠",Negativo
"Tengo directv plan ORO!!!
  Paquetes Premium fox _ hbo
  Y en mi Smart TV samsung de la serie (6) UN40J6500A, 
  NOOOO!! APARECE ESA MALDITA APP! 
  Señores desarrolladores por favor cuando la van a subir a la tienda Smart HUB para esta serie de TV!! 
  Estoy pagando un plan de demasiado dinero 
  Respuesta: buenos días apreciado cliente Comunícate al centro de servicio de directv go! 
  🖕🖕🖕🖕👎👎👎💩😡😠",Negativo
"@DIRECTVGOAyuda @DIRECTVServicio Si. Exactamente éso hago. Ingreso el mismo correo de Midirectv, mi país y la misma contraseña. Si lo hago desde un PC o notebook me dice que la clave o el correo es erróneo. Si lo hago desde un smartphone o tablet me dice error al iniciar sesión",Negativo
Por roku sirve,Negativo
Jajaja ladrones!!! Envidia que lo roben en la cara a uno siiiii como noooooo jajaja,Negativo
"Envidia, tales como"" tener la reja mas alta del pasaje de la pobla """,Negativo
Vivo de las apariencias y me muero por tener la envidia de la gente dame 4 Directv go ya!!!! En serio no tenían otra matriz publicitaria que apelar a las inseguridades de los idiotas?,Negativo
"@DIRECTVGOAyuda hola, tengo problemas para acceder a la página de internet",Negativo
"@DIRECTVGOAyuda Hola, no puedo ingresar a la página de internet.",Negativo
"Lo que pasa es que yo tenía su servicio, yo lo cancele y ustedes me pedian los equipos... ya se los mande y aún siguen enviando mensajes pidiéndome los equipos",Negativo
Así es Santiago... Tienen gente bastante incompetentes,Negativo
@DIRECTVGO Ese mismo servicio vtr lo tiene gratis.... Por q creen q alguien querría Directv go??,Negativo
"@Daniel_McDean @DIRECTVGO Me ofrezco como voluntario al combo para verla juntos!! Llevo el maíz pira 😜
 
 También soy consentidor, y hago buenos masajes 😊😊😊",Neutro
"@SoyAndrejo @DIRECTVGO Yo, ya vi las siete temporadas de Juego de Tronos... Ese fue mi regalo de diciembre...",Neutro
@Daniel_McDean @DIRECTVGO @DIRECTVCo ¿cuál me recomiendas?,Neutro
@SoyAndrejo @DIRECTVGO AYÑÑÑ ÑOOOOOOOOOOOOOO ME MUERO,Neutro
"2♥19
 2🎫19
 2🏆19
 2⚽19
 2🎬19
 2🐉19
 2🍿19
 2📱19
 2💻19
 2🖥19
 
 ¡RT PARA QUE NUNCA TE FALTE LO MÁS IMPORTANTE ESTE AÑO NUEVO! #DIRECTVGO",Neutro
@DIRECTVGO Deportes,Neutro
"mui,,sierto",Neutro
asied,Neutro
@DIRECTVGO Drama,Neutro
@DIRECTVGO Deportes!,Neutro
@DIRECTVGO Clásicos,Neutro
@DIRECTVGO Comedias,Neutro
@DIRECTVGO suspenso.,Neutro
Soi el maestro Pedro de lochacon me interesa,Neutro
@DIRECTVGO Comedia,Neutro
@Daniel_McDean @DIRECTVGO Hagamos maratón!!!! Yey!!!,Neutro
@DIRECTVGO Series,Neutro
@profesorruffino @DIRECTVGO Grandes logros crack 😎,Neutro
"Son 7 días de prueba, si ya pasaron, ahora estás pagando.",Neutro
@DIRECTVGO @OnDIRECTV Es mejor vtr :),Neutro
@DIRECTVGO Accion,Neutro
@DIRECTVGO Drama,Neutro
@DIRECTVGO Porque para vzla no está activa directvgo?,Neutro
Mas malo soy tengo platinum y esa plata forma no sirve ni para in gresar,Neutro
@DIRECTVGO 2⚽️19,Neutro
Para cuando directv go en argentina,Neutro
Con mi #DIRECTVGO podré disfrutar el mejor fútbol este 2019 y los mejores goles de #LaLiga🇪🇸,Neutro
@Soy_Birome Hola. Respondimos a tu consulta por mensaje interno. *JP,Neutro
que hermosa,Neutro
@DIRECTVGOAyuda @DIRECTVGO Muchas gracias. Saludos,Neutro
@DIRECTVGOAyuda @DIRECTVGO Estaré atento,Neutro
@GalvisSoyYo @DIRECTVGO Anotado.,Neutro
@Valdedrama @DIRECTVGO @DIRECTVCo Amor. Miremos GOT que este año acaba. :3,Neutro
Hola,Neutro
@DIRECTVGO Drama,Neutro
"#CopaDelRey 🇪🇸🏆⚽ / 8º de Final - Ida
 Athletic Bilbao (@AthleticClub) 🆚 Sevilla (@SevillaFC)
 🎤Relatos: @haasenico
 🎙Comentarios: @SebasDecker
 🤳#FútbolEnDIRECTV / #AthleticSevillaFC
 📺🌎 DIRECTV Sports (❌🇧🇴🇵🇾)
 📱💻 DIRECTV Play y DIRECTV Go
 Den 🔃 y/o 💟 https://t.co/IbAXgUjKI9",Neutro
"#CopaDelRey 🇪🇸🏆⚽ / 8º de Final - Ida
 Betis (@RealBetis) 🆚 Real Sociedad (@RealSociedad)
 🎤Relatos: @federodas
 🎙Comentarios: @CastellanosCami
 🤳#FútbolEnDIRECTV / #RealBetisRealSociedad
 📺🌎 DIRECTV Sports 2 (❌🇧🇴🇵🇾)
 📱💻 DIRECTV Play y DIRECTV Go
 Den 🔃 y/o 💟 https://t.co/APSP6hkOXu",Neutro
"#CopaDelRey 🇪🇸🏆⚽ / 8º de Final - Ida
 Levante (@LevanteUD) 🆚 FC Barcelona (@FCBarcelona_es)
 🎤Relatos: @FDVENE
 🎙Comentarios: @Gustavo_che
 🤳#FútbolEnDIRECTV / #LevanteBarça
 📺🌎 DIRECTV Sports (❌🇧🇴🇵🇾)
 📱💻 DIRECTV Play y DIRECTV Go
 Den 🔃 y/o 💟 https://t.co/bgLkK87y6d",Neutro
"@VTRsoporte @Soy_Birome Yo voy a sacar el Servicio de @VTRChile en los próximos días, era fanático de @EuropaEuropaTV. Dan excelentes series. Haciendo gestiones para @DIRECTVGO",Neutro
Andrés Márquez estoy en la versión gratis y no he pagado nada,Neutro
@DIRECTVGO comedia... saludos,Neutro
Hola 👋 me gustan muchos sus promociones de 7 días por tres mil no la an puesto? Gracias muy buena sus promociones,Neutro
chile,Neutro
@Daniel_McDean @DIRECTVGO 😵😵😵 muero tengo q acabarlo yaaaa,Neutro
"Resource at '/content/ott/cl/es/centro-de-soluciones/clientes-tv-satelital/acceso-a-directv-go/-como-entro-a-directv-go-con-las-credenciales-de-midirectv-.html' not found: No resource found
 
 Cannot serve request to /content/ott/cl/es/centro-de-soluciones/clientes-tv-satelital/acceso-a-directv-go/-como-entro-a-directv-go-con-las-credenciales-de-midirectv-.html on this server",Neutro
eso me sale al clickear el link,Neutro
arroja lo mismo al clickear el nuevo link,Neutro
cambie de navegador y sigue saliendo lo mismo,Neutro
Naim de la chica del anuncio es para una investigación gracias,Neutro
ok gracias,Neutro
"@DIRECTVGO Deportes, saludos desde Longavi Chile",Neutro
Ni yo,Neutro
@DIRECTVGO Clasicos,Neutro
Cuando para Venezuela? twitter.com/DIRECTVGO/stat…,Neutro
@DIRECTVGO Comedia,Neutro
@DIRECTVGO Clásico,Neutro
@DIRECTVGO Suspenso,Neutro
@DIRECTVGO Acción,Neutro
@DIRECTVGO Para suscribirme definitivamente!!,Neutro
"Si hay foto, hay video.",Neutro
puedes hacer todos los cambios que quieras pero nunca dejes ser la Pau que conocí.. .jeje se le recuerda mucho,Neutro
"Juan Aníbal te felicito tu linda forma de ver la realidad de la vida las mujeres no es por la edad hay lindas de corazón la ley de la vida es las edades.un hombre de 50 O más es interesante también. Da amor igual,más a un no hay precio una buena compañía todo no es sexo tampoco .. por eso está esté mundo cómo está te deseó siempre lo.mejor María Claudia Hernández Cadavid",Neutro
Hola,Neutro
@DIRECTVGO Comedia,Neutro
Ese es mi inconveniente,Neutro
Ambos,Neutro
Serie 5 y serie 6,Neutro
Ok intentaré hacerlo muchas gracias,Neutro
Ahí dice que busque la aplicación en la tienda pero ese es el detalle no sale,Neutro
Es Colombia donde estoy,Neutro
Eso es en la página web ?,Neutro
Ok eso haré gracias,Neutro
@DIRECTVGOAyuda @DIRECTVGO Medellin- Colombia.,Neutro
@DIRECTVGOAyuda No,Neutro
@DIRECTVGOAyuda E intentado con muchas o deportes y nada.,Neutro
"Si, pónganme a la niña deliciosa en una bolsa para llevar jajajaja",Neutro
Serie 5 y 6,Neutro
Que vi algo de eso en la página,Neutro
Ok muchas gracias,Neutro
Para que publican maricadas si no contestan asi sera el servicio de bueno como la atención dejan mucho que decir,Neutro
"[SERIES] #TrueDetective 
 La tercera temporada de la aclamada serie creación de Nic Pizzolatto llega este domingo a la pantalla de @HBOLAT con estreno de episodio doble y acá te detallamos TODO lo que podés esperar:
 cuatrobastardos.com/2019/01/10/tru…",Neutro
Siempre con el rrey arturo es un orgullo asegir,Neutro
Alguien dijo porno??? Hay algun link por ahi???,Neutro
"Mark Rufalo en si tuviera 30, es lo más hermoso de la vida.",Neutro
"Contratando cualquier plan Oro viene gratis la App.
 Para más información me pueden escribir al WhatsApp +56965605171 rápida instalación 🤗",Neutro
@Daniel_McDean @DIRECTVGO O la tienen grabada en su dvr! 😏,Neutro
Vea a ve,Neutro
A ganar se ha dicho wn,Neutro
"Profe Ernesto, nos quedamos afuera de la copa la culpa será suya.",Neutro
pero bien q la otra vez no me funcionaba el canal 11 .-. twitter.com/DIRECTVGO/stat…,Neutro
Bryand Sanchez Palacios no es como esos servicios de streaming no se equivoqué,Neutro
Juancho Juan con el catálogo on demand sale en 140,Neutro
"si, ya lo compré Jaja",Neutro
Y siguen con su Patetica publicidad....,Neutro
Directv Soy Maxo Mogis no tengo servecio desde 5 decembre hasta ahora chanaral alto camino chacarilla,Neutro
Para cuando en consolas?,Neutro
Qué bueno,Neutro
Grande Barcelona de Arturo Vidal chileno 🤭😁🇨🇱🇪🇸🌏⚽👏👏,Neutro
"Moises Lorca Que lata es tu trabajo y tienes que cuidarlo. Pero la realidad es que las calidad del servicio en general de la televisión por cable no guarda relación alguna con los precios.
 No puedes hacer una selección de canales al gusto del consumidor.
 Hay propaganda indiscriminada, aunque es un servicio pagado.
 Una pelicula que dura una hora y media, la cortan tanto que estás tratando de verla como por tres horas.
 Cuando porfin encuentras algo se hecha a perder la trasmisión.
 Por esa razón cortamos la TV por cable y la TV pública, lo mismo, exceso de publicidad, circo y mentiras.",Neutro
Parece pettans,Neutro
Yo sé quién es. Si les interesa inbox. Ya que borraron mi comentario 😒,Neutro
@SoyAndrejo @DIRECTVGO Cuando tendrán Rocko y Aaaaah Moustros de verdad!,Neutro
A un compañero de trabajo Directv lo estafo,Neutro
"Myriam Luz Vera Parra que lata y que pena su situación .. La verdad es que mi trabajo y la experiencia que llevó me ha dejado mucho éxito gracias a Dios ... Y la estadística en cuanto a calidad del servicio muestran lo contrario a lo que ud manifiesta, por lo tanto es una pena que a ud en particular, le haya pasado tan mala experiencia con el servicio.",Neutro
Sjcebyncnjfrbybj,Neutro
La verdad que DirecTV go es mil veces mejor que contratar valga la redundancia DirecTV por contrato,Neutro
"☠☠NO SE DIGA MAS☠☠☠ DIRECTV📢SUPER PROMOCION 2019🔥
 
 COMPRA HOY👈 PAGA EN ABRIL😱
 
 LLAMA YA📲 3219789666
 
 #oigamirevea #santiagodecali #colombia#directvsports #directvplay #directvgo",Neutro
Hola buen dia,Neutro
Sólo necesito Internet,Neutro
Que planes manejan,Neutro
L,Neutro
"Si Haces apuestas deportivas y deseas ganar Escribeme y sigueme y ganar dinero🇨🇴
 Que Esperas Para Ganar Escribirme Al Whatsapp +573013339350 Y Por Sólo 10milPesos Recibes Los Mejores Pronósticos Deportivos Juega Y Gana🇨🇴",Neutro
@DIRECTVGO Porno con enanos albinos,Neutro
@Daniel_McDean @DIRECTVGO Maratón?,Neutro
F c b,Neutro
"Todo lo que ofrecen ellos y más, y lo mejor más barato!
 https://www.facebook.com/TVPLAY.COLOMBIA/",Neutro
"Todo lo que ofrecen ellos y más, y lo mejor más barato!
 https://www.facebook.com/TVPLAY.COLOMBIA/",Neutro
"Todo lo que ofrecen ellos y más, y lo mejor más barato!
 https://www.facebook.com/TVPLAY.COLOMBIA/",Neutro
"Todo lo que ofrecen ellos y más, y lo mejor más barato!
 https://www.facebook.com/TVPLAY.COLOMBIA/",Neutro
menos mal no soy el unico que siente un impulso diferente a querer tener directv.,Neutro
"@jpbogota @milotellez9 @DIRECTVGO Sí, funciona perfecto, lo usaba con los partidos del mundial",Neutro
"@devescobar @milotellez9 @DIRECTVGO Mmmm.. directv go , no drirectv play.. el play funciona genial.. :D",Neutro
@jpbogota @milotellez9 @DIRECTVGO Entonces ese no lo he usado,Neutro
Sergio Palacios le mande imbox,Neutro
"#NBA🏀 2018-19'
 #CUsRise (@Celtics) 🆚 #HEATCulture (@MiamiHEAT)
 🎤Relatos: @brunovain
 🎙Comentarios: @FranciscoBlavia
 🤳#NBAenDIRECTV / #NBATwitter
 📺🌎 DIRECTV Sports 2 (❌🇧🇴🇵🇾)
 📱💻 DIRECTV Play y DIRECTV Go
 Den 🔃 y/o 💟 https://t.co/MzlCznXsW7",Neutro
"#NBA🏀 2018-19'
 #ThunderUp (@okcthunder) 🆚 #GoSpursGo (@spurs)
 🎤Relatos: @nachogarciad
 🎙Comentarios: @FranciscoBlavia
 🤳#NBAenDIRECTV / #NBATwitter
 📺🌎 DIRECTV Sports 2 (❌🇧🇴🇵🇾)
 📱💻 DIRECTV Play y DIRECTV Go
 Den 🔃 y/o 💟 https://t.co/Sl4PFk4iBE",Neutro
Hl,Neutro
"Crispetas 🍿+ pijama deliriosweetdreams + mis series favoritas + directvgo= Uno de mis planes favoritos, a ustedes con quien les gusta hacer este plan??? •
 •
 •
 •____________________________________
 
 #bogota #colombia #pijama #blogger #deco #bedroom #directtv #decoration #crispetas #popcorn",Neutro
Que clase de servicio es .Sin antena?,Neutro
@DIRECTVGOAyuda Y FoxSports?,Neutro
Vamos prendiendo el carbón que hoy Vidal se consgra,Neutro
Ok,Neutro
Para poder ver desde el televisor,Neutro
Cómo?,Neutro
Hol,Neutro
De q se trata,Neutro
Me quería registrar como cliente para acceder a directv play directv go pero no me deja registrarme,Neutro
@JuanoDelGuano Hasta hace poco vi esa película y concuerdo totalmente !! ❤️,Neutro
"Mi puntaje para DBS Broly: 9/10.
 Pues es mi primer pelicula de db en el cine y LA IMAGEN Y SONIDO GODDDDDDDD genial.",Neutro
Hoy se estreno la película Dragón Ball Súper y por pobre no la puedo ir a ver 💔,Neutro
La pelicula de Dragon Ball Broly esta muy buena o por lo menos a mi me gusto mucho,Neutro
Mejoren la internet,Neutro
@SoyAndrejo @DIRECTVGO No sabía esto tan maravilloso,Neutro
"@DIRECTVGO #2🇨🇱22 
 #Kast",Neutro
@DIRECTVGOAyuda @DIRECTVServicio DIRECTV internet @DIRECTVServicio pero cuando estoy en el proceso misteriosamente se cae la llamada.,Neutro
Ok,Neutro
@DIRECTVGO Ni pensarlo ACCIÓN,Neutro
@pccardenash @DIRECTVGOAyuda Yo lo dije. Donde me deja el cambio del menú. @DIRECTVServicio q caos,Neutro
@DIRECTVGO Maravilloso!!! Muchas gracias 😉🤗,Neutro
@DIRECTVGO twitter.com/PGondzalez/sta…,Neutro
Ah ok muchísimas graciasy,Neutro
"Jajaja, en transmilenio, eso si no tiene presentación.",Neutro
"Hola como llegaron,anoche",Neutro
"Hola como llegaron,anoche",Neutro
@DIRECTVGOAyuda 🤔 De Chile,Neutro
"Cuando entra a escena el enano, el perro, la gorda, el abuelo, les shemales y la amputada... y la porno se pone beeélica...",Neutro
"En los viajes haces de todo... Caminas, corres, bailas, saltas, nadas y hasta duermes!...
 Pero a veces yo solo quiero relajarme, encontrar un buen spot y ver mi serie favorita....
 .
 .
 .
 Ustedes son más de Series o Películas? . . . 
 directvgo
 #travel
 #colombia",Neutro
Será normal empezar y terminar una serie en un día?????,Neutro
"⚔🛡""When you play a Game of Thrones, you win or you die""🛡⚔. ••• 🐲✨¡Por todos los dioses nuevos y antiguos! ¡Falta poquísimo para que se estrene la última temporada de Juego de Tronos! Yo voy a aprovechar para volver a ver toda la serie en la nueva app de DIRECTVGO, que tiene cientos de series y pelis. ¿Cuál es tu personaje favorito?✨🐲 ••• 💡🎥Recuerden que la app de DirectvGO la pueden usar de manera gratuita si tienen el Plan Oro o superior. Y, si no, ¡de todas maneras pueden tenerla pagando una mensualidad! 🎥💡 ••• #AGameOfThrones #GameOfThrones #GoT #JuegoDeTronos #ASongOfIceAndFire #CanciónDeHieloYFuego #GeorgeRRMartin #FuegoYSangre #FireAndBlood #DIRECTV #DIRECTVGO #Ad #Book #Bookish #BookWorm #BookNerd #BookLover #BookLion #Bookstagram #Bookstagrammer #Instabooks #Reader #ReaderOfInstagram",Neutro
"⚔🛡""When you play a Game of Thrones, you win or you die""🛡⚔. ••• 🐲✨¡Por todos los dioses nuevos y antiguos! ¡Falta poquísimo para que se estrene la última temporada de Juego de Tronos! Yo voy a aprovechar para volver a ver toda la serie en la nueva app de DIRECTVGO, que tiene cientos de series y pelis. ¿Cuál es tu personaje favorito?✨🐲 ••• 💡🎥Recuerden que la app de DirectvGO la pueden usar de manera gratuita si tienen el Plan Oro o superior. Y, si no, ¡de todas maneras pueden tenerla pagando una mensualidad! 🎥💡 ••• #AGameOfThrones #GameOfThrones #GoT #JuegoDeTronos #ASongOfIceAndFire #CanciónDeHieloYFuego #GeorgeRRMartin #FuegoYSangre #FireAndBlood #DIRECTV #DIRECTVGO #Ad #Book #Bookish #BookWorm #BookNerd #BookLover #BookLion #Bookstagram #Bookstagrammer #Instabooks #Reader #ReaderOfInstagram",Neutro
@tuto_ramirez_ @DIRECTVGO Suele suceder,Neutro
Felizzz cumple!! Miles de bendiciones...,Neutro
.,Neutro
y el pack,Neutro
@DIRECTVGO @DIRECTVGOAyuda Gracias!,Neutro
@DIRECTVGO #CodigoRodezel @rodezel,Neutro
"Copia de DirecTVNOW, lol",Neutro
"""Sigues usando esa palabra. No significa lo que crees que significa.""",Neutro
Hola,Neutro
Up,Neutro
"No me subestimes,no necesito tu basura.",Neutro
Hola... Me gustaría poder contratar el cable.. cómo lo debo hacer?,Neutro
Eeeoooooo,Neutro
Cuanto habrán pagado por esa cagá de campaña piruja?,Neutro
Publicista cesante ... Se sabe,Neutro
Ah como si faltaran arrogantes...,Neutro
Con esa cara de weeta no podi ser superior a nadie 😂😂,Neutro
Victor Alfonso Prieto Gonzalez de tanto jalarse ese ganzo ya quedó ciego.. La vieja de la foto no es ella...,Neutro
José Gabriel López García,Neutro
Y el pack?,Neutro
"Es de suma importancia que mis amigos estén actualizados en cuanto a memes, videos virales, series y demás temas importantes de conversación.",Neutro
Llevo una semana con tres series terminadas.,Neutro
Te envío inbox con la información,Neutro
